Date,Trading method,Allocation no,Asset,Weight of asset(%)Asset price,Amount to buy ,Total spending,Timeframe
"Dec 30, 2020",One-off,143,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,143,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,143,gold,0.15,177.7,84,14926.8,
"Dec 30, 2020",One-off,143,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,144,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,144,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,144,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,144,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,144,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,145,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,145,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,145,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,145,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,145,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,146,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,146,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,146,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,146,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,146,cash,0.15,1,15000,15000,
"Dec 30, 2020",One-off,147,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,147,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,147,sbonds,0.2,253.84,78,19799.52,
"Dec 30, 2020",One-off,147,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,147,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,148,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,148,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,148,sbonds,0.15,253.84,59,14976.56,
"Dec 30, 2020",One-off,148,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,148,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,149,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,149,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,149,sbonds,0.15,253.84,59,14976.56,
"Dec 30, 2020",One-off,149,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,149,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,150,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,150,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,150,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,150,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,150,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,151,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,151,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,151,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,151,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,151,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,152,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,152,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,152,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,152,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,152,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,153,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,153,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,153,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,153,gold,0.15,177.7,84,14926.8,
"Dec 30, 2020",One-off,153,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,154,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,154,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,154,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,154,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,154,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,155,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,155,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,155,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,155,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,155,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,156,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,156,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,156,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,156,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,156,cash,0.15,1,15000,15000,
"Dec 30, 2020",One-off,157,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,157,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,157,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,157,gold,0.2,177.7,112,19902.4,
"Dec 30, 2020",One-off,157,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,158,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,158,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,158,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,158,gold,0.15,177.7,84,14926.8,
"Dec 30, 2020",One-off,158,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,159,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,159,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,159,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,159,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,159,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,160,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,160,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,160,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,160,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,160,cash,0.15,1,15000,15000,
"Dec 30, 2020",One-off,161,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,161,sbonds,0.1,203.32,49,9962.68,
"Dec 30, 2020",One-off,161,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,161,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,161,cash,0.2,1,20000,20000,
"Dec 30, 2020",One-off,162,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,162,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,162,sbonds,0.25,253.84,98,24876.32,
"Dec 30, 2020",One-off,162,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,162,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,163,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,163,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,163,sbonds,0.2,253.84,78,19799.52,
"Dec 30, 2020",One-off,163,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,163,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,164,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,164,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,164,sbonds,0.2,253.84,78,19799.52,
"Dec 30, 2020",One-off,164,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,164,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,165,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,165,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,165,sbonds,0.15,253.84,59,14976.56,
"Dec 30, 2020",One-off,165,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,165,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,166,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,166,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,166,sbonds,0.15,253.84,59,14976.56,
"Dec 30, 2020",One-off,166,gold,0.05,177.7,28,4975.6,
