Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,142,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,142,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,142,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,142,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,142,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,143,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,143,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,143,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,143,gold,0.15,166.62,90,14995.8,3
"Jul 01, 2020",One-off,143,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,144,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,144,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,144,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,144,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,144,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,145,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,145,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,145,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,145,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,145,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,146,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,146,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,146,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,146,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,146,cash,0.15,1,15000,15000,3
"Jul 01, 2020",One-off,147,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,147,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,147,sbonds,0.2,261.9,76,19904.4,3
"Jul 01, 2020",One-off,147,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,147,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,148,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,148,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,148,sbonds,0.15,261.9,57,14928.3,3
"Jul 01, 2020",One-off,148,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,148,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,149,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,149,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,149,sbonds,0.15,261.9,57,14928.3,3
"Jul 01, 2020",One-off,149,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,149,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,150,stocks,0.7,181.47,385,69865.95,3
